UE,Video,MOS
1,akiyo,3.53
2,akiyo,3.67
3,akiyo,3.57
4,akiyo,3.56
5,akiyo,3.40
6,akiyo,3.38
1,bowing,3.33
2,bowing,3.47
3,bowing,3.37
4,bowing,3.36
5,bowing,3.20
6,bowing,3.18
