UE,Video,Jitter_ms
1,akiyo,2.30
2,akiyo,1.54
3,akiyo,2.05
4,akiyo,2.13
5,akiyo,3.03
6,akiyo,3.09
1,bowing,2.99
2,bowing,2.00
3,bowing,2.67
4,bowing,2.76
5,bowing,3.94
6,bowing,4.02
