UE,Video,Jitter_ms
1,akiyo,3.81
2,akiyo,2.55
3,akiyo,3.41
4,akiyo,3.52
5,akiyo,5.03
6,akiyo,5.12
1,bowing,5.30
2,bowing,3.55
3,bowing,4.74
4,bowing,4.91
5,bowing,7.00
6,bowing,7.13
