UE,Video,MOS
1,highway,4.72617
2,highway,4.5633
3,highway,4.37434
4,highway,4.56625
5,highway,4.55658
1,football,4.08845
2,football,3.76194
3,football,3.43797
4,football,3.96526
5,football,4.04766
