UE,Video,PSNR_dB
1,highway,40.6188
2,highway,38.0128
3,highway,35.4921
4,highway,38.06
5,highway,37.9052
1,football,32.0614
2,football,29.5716
3,football,27.6278
4,football,30.7916
5,football,31.5719
