UE,Video,PSNR_dB
1,highway,38.5643
2,highway,42
3,highway,36.7079
4,highway,36.7278
5,highway,37.423
1,football,31.3698
2,football,33.4312
3,football,29.1136
4,football,29.9414
5,football,32.3151
