UE,Video,MOS
1,highway,4.59777
2,highway,4.8125
3,highway,4.47566
4,highway,4.47731
5,highway,4.52644
1,football,4.03081
2,football,4.2026
3,football,3.6856
4,football,3.82356
5,football,4.10959
