UE,Video,Throughput_Mbps
1,akiyo,11.71
2,akiyo,14.46
3,akiyo,12.59
4,akiyo,12.33
5,akiyo,9.06
6,akiyo,8.84
1,bowing,12.49
2,bowing,15.42
3,bowing,13.43
4,bowing,13.15
5,bowing,9.66
6,bowing,9.43
