UE,Video,Throughput_Mbps
1,container,9.60
2,container,11.86
3,container,10.32
4,container,10.11
5,container,7.43
6,container,7.25
1,bowing,10.64
2,bowing,13.13
3,bowing,11.43
4,bowing,11.20
5,bowing,8.23
6,bowing,8.03
