UE,Video,PSNR_dB
1,container,36.12
2,container,36.67
3,container,36.30
4,container,36.24
5,container,35.58
6,container,35.54
1,bowing,35.12
2,bowing,35.67
3,bowing,35.30
4,bowing,35.24
5,bowing,34.58
6,bowing,34.54
