UE,Video,MOS
1,akiyo,4.13
2,akiyo,4.27
3,akiyo,4.17
4,akiyo,4.16
5,akiyo,4.00
6,akiyo,3.98
1,bowing,4.03
2,bowing,4.17
3,bowing,4.07
4,bowing,4.06
5,bowing,3.90
6,bowing,3.88
