UE,Video,Delay_ms
1,container,10.56
2,container,8.53
3,container,9.91
4,container,10.10
5,container,12.53
6,container,12.69
1,ice,9.60
2,ice,7.75
3,ice,9.01
4,ice,9.18
5,ice,11.39
6,ice,11.54
