UE,Video,Throughput_Mbps
1,container,9.60
2,container,11.86
3,container,10.32
4,container,10.11
5,container,7.43
6,container,7.25
1,ice,10.64
2,ice,13.13
3,ice,11.43
4,ice,11.20
5,ice,8.23
6,ice,8.03
