UE,Video,Jitter_ms
1,container,4.533360
1,ice,2.875160
2,container,4.780635
2,ice,3.031987
3,container,5.027909
3,ice,3.188814
4,container,5.275183
4,ice,3.345641
5,container,5.522457
5,ice,3.502467
6,container,5.769731
6,ice,3.659294
