UE,Video,MOS
1,container,4.13
2,container,4.27
3,container,4.17
4,container,4.16
5,container,4.00
6,container,3.98
1,ice,4.03
2,ice,4.17
3,ice,4.07
4,ice,4.06
5,ice,3.90
6,ice,3.88
