UE,Video,PSNR_dB
1,highway,34.4966
2,highway,35.9584
3,highway,33.0319
4,highway,32.7149
5,highway,35.202
1,football,29.7212
6,highway,34.7841
2,football,31.6384
3,football,27.8506
4,football,28.6288
5,football,32.2241
6,football,32.2877
