UE,Video,PSNR_dB
1,akiyo,36.12
2,akiyo,36.67
3,akiyo,36.30
4,akiyo,36.24
5,akiyo,35.58
6,akiyo,35.54
1,bowing,35.12
2,bowing,35.67
3,bowing,35.30
4,bowing,35.24
5,bowing,34.58
6,bowing,34.54
