UE,Video,MOS
1,highway,4.36134
2,highway,4.29161
3,highway,4.23081
4,highway,4.19323
5,highway,4.28199
1,football,4.04564
6,highway,4.27738
2,football,3.86444
3,football,3.62551
4,football,3.54577
5,football,4.00004
6,football,3.99971
