UE,Video,PSNR_dB
1,highway,35.336
2,highway,34.4993
3,highway,33.7697
4,highway,33.3187
5,highway,34.3839
1,football,31.5476
6,highway,34.3286
2,football,30.1866
3,football,28.7531
4,football,28.2746
5,football,31.0004
6,football,30.9983
