UE,Video,Jitter_ms
1,bowing,4.997435
1,ice,5.347600
2,bowing,5.270022
2,ice,5.639288
3,bowing,5.542610
3,ice,5.930975
4,bowing,5.815197
4,ice,6.222662
5,bowing,6.087784
5,ice,6.514350
6,bowing,6.360372
6,ice,6.806037
