UE,Video,PSNR_dB
1,container,30.12
2,container,30.67
3,container,30.30
4,container,30.24
5,container,29.58
6,container,29.54
1,ice,28.12
2,ice,28.67
3,ice,28.30
4,ice,28.24
5,ice,27.58
6,ice,27.54
