UE,Video,MOS
1,container,3.53
2,container,3.67
3,container,3.57
4,container,3.56
5,container,3.40
6,container,3.38
1,ice,3.33
2,ice,3.47
3,ice,3.37
4,ice,3.36
5,ice,3.20
6,ice,3.18
