UE,Video,PacketLoss_percent
1,container,68.53
2,container,48.28
3,container,62.06
4,container,63.95
5,container,88.09
6,container,89.67
1,ice,65.89
2,ice,46.42
3,ice,59.67
4,ice,61.49
5,ice,84.69
6,ice,86.22
