UE,Video,Throughput_Mbps
1,akiyo,11.71
2,akiyo,14.32
3,akiyo,12.32
4,akiyo,11.93
5,akiyo,8.52
1,bowing,12.49
2,bowing,15.28
3,bowing,13.14
4,bowing,12.72
5,bowing,9.09
