UE,Video,PSNR_dB
1,akiyo,36.12
2,akiyo,36.65
3,akiyo,36.24
4,akiyo,36.16
5,akiyo,35.47
1,bowing,35.12
2,bowing,35.65
3,bowing,35.24
4,bowing,35.16
5,bowing,34.47
