UE,Video,PacketLoss_percent
1,akiyo,50.70
2,akiyo,36.45
3,akiyo,47.37
4,akiyo,49.50
5,akiyo,68.08
1,bowing,53.20
2,bowing,38.25
3,bowing,49.71
4,bowing,51.94
5,bowing,71.44
