UE,Video,MOS
1,akiyo,3.53
2,akiyo,3.66
3,akiyo,3.56
4,akiyo,3.54
5,akiyo,3.37
1,bowing,3.33
2,bowing,3.46
3,bowing,3.36
4,bowing,3.34
5,bowing,3.17
