UE,Video,Delay_ms
1,akiyo,21.12
2,akiyo,17.25
3,akiyo,20.22
4,akiyo,20.80
5,akiyo,25.85
1,bowing,20.16
2,bowing,16.46
3,bowing,19.30
4,bowing,19.85
5,bowing,24.68
