UE,Video,MOS
1,akiyo,4.13
2,akiyo,4.26
3,akiyo,4.16
4,akiyo,4.14
5,akiyo,3.97
1,bowing,4.03
2,bowing,4.16
3,bowing,4.06
4,bowing,4.04
5,bowing,3.87
