UE,Video,Jitter_ms
1,bowing,6.019819
1,football,11.543576
2,bowing,6.430261
2,football,12.330638
3,bowing,6.840704
3,football,13.117700
4,bowing,7.251146
4,football,13.904762
5,bowing,7.661588
5,football,14.691824
