UE,Video,Throughput_Mbps
1,akiyo,9.60
2,akiyo,11.75
3,akiyo,10.10
4,akiyo,9.78
5,akiyo,6.99
1,bowing,10.64
2,bowing,13.01
3,bowing,11.19
4,bowing,10.84
5,bowing,7.74
