UE,Video,PSNR_dB
1,akiyo,30.12
2,akiyo,30.65
3,akiyo,30.24
4,akiyo,30.16
5,akiyo,29.47
1,bowing,28.12
2,bowing,28.65
3,bowing,28.24
4,bowing,28.16
5,bowing,27.47
