UE,Video,PacketLoss_percent
1,akiyo,68.53
2,akiyo,49.27
3,akiyo,64.03
4,akiyo,66.91
5,akiyo,92.03
1,bowing,65.89
2,bowing,47.37
3,bowing,61.56
4,bowing,64.33
5,bowing,88.48
