UE,Video,PSNR_dB
1,akiyo,30.12
2,akiyo,30.67
3,akiyo,30.30
4,akiyo,30.24
5,akiyo,29.58
6,akiyo,29.54
1,bowing,28.12
2,bowing,28.67
3,bowing,28.30
4,bowing,28.24
5,bowing,27.58
6,bowing,27.54
