UE,Video,Delay_ms
1,container,10.56
2,container,8.53
3,container,9.91
4,container,10.10
5,container,12.53
6,container,12.69
1,bowing,9.60
2,bowing,7.75
3,bowing,9.01
4,bowing,9.18
5,bowing,11.39
6,bowing,11.54
