UE,Video,PSNR_dB
1,highway,35.2185
2,highway,34.5575
3,highway,33.7001
4,highway,33.3853
5,highway,34.5137
1,football,31.6737
6,highway,34.3196
2,football,30.1761
3,football,28.7938
4,football,28.2099
5,football,30.9702
6,football,31.0069
