UE,Video,Throughput_Mbps
1,akiyo,9.60
2,akiyo,11.86
3,akiyo,10.32
4,akiyo,10.11
5,akiyo,7.43
6,akiyo,7.25
1,bowing,10.64
2,bowing,13.13
3,bowing,11.43
4,bowing,11.20
5,bowing,8.23
6,bowing,8.03
