UE,Video,PSNR_dB
1,coastguard,30.12
2,coastguard,30.67
3,coastguard,30.30
4,coastguard,30.24
5,coastguard,29.58
6,coastguard,29.54
1,bowing,28.12
2,bowing,28.67
3,bowing,28.30
4,bowing,28.24
5,bowing,27.58
6,bowing,27.54
