UE,Video,MOS
1,coastguard,3.53
2,coastguard,3.67
3,coastguard,3.57
4,coastguard,3.56
5,coastguard,3.40
6,coastguard,3.38
1,bowing,3.33
2,bowing,3.47
3,bowing,3.37
4,bowing,3.36
5,bowing,3.20
6,bowing,3.18
