UE,Video,FramesLost
1,coastguard,20
2,coastguard,14
3,coastguard,18
4,coastguard,19
5,coastguard,26
6,coastguard,26
1,bowing,19
2,bowing,13
3,bowing,17
4,bowing,18
5,bowing,25
6,bowing,25
