UE,Video,MOS
1,coastguard,4.13
2,coastguard,4.27
3,coastguard,4.17
4,coastguard,4.16
5,coastguard,4.00
6,coastguard,3.98
1,bowing,4.03
2,bowing,4.17
3,bowing,4.07
4,bowing,4.06
5,bowing,3.90
6,bowing,3.88
