UE,Video,FramesLost
1,coastguard,15
2,coastguard,10
3,coastguard,13
4,coastguard,14
5,coastguard,19
6,coastguard,19
1,bowing,15
2,bowing,11
3,bowing,14
4,bowing,14
5,bowing,20
6,bowing,20
