UE,Video,Throughput_Mbps
1,coastguard,9.60
2,coastguard,11.86
3,coastguard,10.32
4,coastguard,10.11
5,coastguard,7.43
6,coastguard,7.25
1,bowing,10.64
2,bowing,13.13
3,bowing,11.43
4,bowing,11.20
5,bowing,8.23
6,bowing,8.03
