UE,Video,PSNR_dB
1,football,36.12
2,football,36.67
3,football,36.30
4,football,36.24
5,football,35.58
6,football,35.54
1,st_highway_cif,35.12
2,st_highway_cif,35.67
3,st_highway_cif,35.30
4,st_highway_cif,35.24
5,st_highway_cif,34.58
6,st_highway_cif,34.54
