UE,Video,Jitter_ms
1,football,18.114491
1,highway,17.431244
2,football,19.102554
2,highway,18.382039
3,football,20.090617
3,highway,19.332835
4,football,21.078680
4,highway,20.283630
5,football,22.066743
5,highway,21.234425
6,football,23.054806
6,highway,22.185220
