UE,Video,Jitter_ms
1,football,10.274321
1,highway,17.704437
2,football,10.834739
2,highway,18.670134
3,football,11.395156
3,highway,19.635830
4,football,11.955574
4,highway,20.601527
5,football,12.515991
5,highway,21.567223
6,football,13.076409
6,highway,22.532920
