UE,Video,MOS
1,football,4.13
2,football,4.27
3,football,4.17
4,football,4.16
5,football,4.00
6,football,3.98
1,st_highway_cif,4.03
2,st_highway_cif,4.17
3,st_highway_cif,4.07
4,st_highway_cif,4.06
5,st_highway_cif,3.90
6,st_highway_cif,3.88
