UE,Video,PacketLoss_percent
1,football,68.53
2,football,48.28
3,football,62.06
4,football,63.95
5,football,88.09
6,football,89.67
1,st_highway_cif,65.89
2,st_highway_cif,46.42
3,st_highway_cif,59.67
4,st_highway_cif,61.49
5,st_highway_cif,84.69
6,st_highway_cif,86.22
