UE,Video,PSNR_dB
1,football,30.12
2,football,30.67
3,football,30.30
4,football,30.24
5,football,29.58
6,football,29.54
1,st_highway_cif,28.12
2,st_highway_cif,28.67
3,st_highway_cif,28.30
4,st_highway_cif,28.24
5,st_highway_cif,27.58
6,st_highway_cif,27.54
