UE,Video,Delay_ms
1,football,21.12
2,football,17.05
3,football,19.82
4,football,20.20
5,football,25.06
6,football,25.38
1,st_highway_cif,20.16
2,st_highway_cif,16.28
3,st_highway_cif,18.92
4,st_highway_cif,19.29
5,st_highway_cif,23.92
6,st_highway_cif,24.23
