UE,Video,Throughput_Mbps
1,football,11.71
2,football,14.46
3,football,12.59
4,football,12.33
5,football,9.06
6,football,8.84
1,st_highway_cif,12.49
2,st_highway_cif,15.42
3,st_highway_cif,13.43
4,st_highway_cif,13.15
5,st_highway_cif,9.66
6,st_highway_cif,9.43
