UE,Video,FramesLost
1,football,20
2,football,14
3,football,18
4,football,19
5,football,26
6,football,26
1,st_highway_cif,19
2,st_highway_cif,13
3,st_highway_cif,17
4,st_highway_cif,18
5,st_highway_cif,25
6,st_highway_cif,25
