UE,Video,Delay_ms
1,container,21.12
2,container,17.05
3,container,19.82
4,container,20.20
5,container,25.06
6,container,25.38
1,ice,20.16
2,ice,16.28
3,ice,18.92
4,ice,19.29
5,ice,23.92
6,ice,24.23
