UE,Video,Throughput_Mbps
1,container,11.71
2,container,14.46
3,container,12.59
4,container,12.33
5,container,9.06
6,container,8.84
1,ice,12.49
2,ice,15.42
3,ice,13.43
4,ice,13.15
5,ice,9.66
6,ice,9.43
